Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
M252Y,3,,,,,,,,,,,,,,3,1.5,29.9,59,11.47,2.12,34.8,0.0837,392,279,0.66,0.43,12,0.1,Tsai,,
M252Y,3,,,,,,,,,,,,,,4,1.5,29.9,60,11.46,2.11,34.8,0.0823,392,273,0.71,0.62,23,0.15,Tsai,,
M252Y,3,,,,,,,,,,,,,,6,1.5,29.8,62,11.41,2.1,34.7,0.0809,391,267,0.75,0.89,43,0.21,Tsai,,
M252Y,3,,,,,,,,,,,,,,12,1.5,29.2,68,10.99,2.06,34.2,0.0795,391,258,0.84,1.68,134,0.4,Tsai,,
M252Y,3,,,,,,,,,,,,,,18,1.5,28.4,73,10.52,2.02,33.5,0.0781,391,257,0.86,2.44,255,0.57,Tsai,,
M252Y,3,,,,,,,,,,,,,,25,1.5,28.4,81,10.48,2.01,33.5,0.0775,390,254,0.9,3.23,412,0.76,Tsai,,
M252Y,3,,,,,,,,,,,,,,37,1.5,28.3,154,10.48,2,33.4,0.0759,391,246,0.98,4.82,808,1.14,Tsai,,
M252Y,3,,,,,,,,,,,,,,49,1.5,28.4,401,10.49,2,33.5,0.0748,391,240,1.04,6.43,1300,1.52,Tsai,,
M252Y,3,,,,,,,,,,,,,,6,0.6,28.9,12,10.86,2.02,34,0.0725,393,162,0.76,0.83,41,0.2,Tsai,,
M252Y,3,,,,,,,,,,,,,,9,0.6,28.8,13,10.8,2.01,33.9,0.0702,390,159,0.78,1.25,82,0.29,Tsai,,
M252Y,3,,,,,,,,,,,,,,25,0.6,28.8,16,10.75,2,33.8,0.0699,390,145,0.87,3.31,418,0.78,Tsai,,
M252Y,3,,,,,,,,,,,,,,61,0.6,29,42,10.91,2.01,34,0.0679,390,130,0.97,8.37,1915,1.97,Tsai,,
M250YS,3.1,,Baseline,,,,,,,,,,,,3,1,18.8,33,5.76,1.75,25.7,0.1015,393,250,0.59,3.89,16,0.92,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,6,1,18.7,34,5.73,1.73,25.6,0.0984,393,234,0.69,7.45,50,1.76,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,9,1,18.5,35,5.64,1.71,25.4,0.0954,393,230,0.72,10.58,94,2.49,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,12,1,18.7,36,5.71,1.72,25.5,0.0946,392,228,0.74,14.08,153,3.32,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,18,1,18.8,38,5.74,1.72,25.6,0.0941,392,219,0.79,20.82,298,4.91,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,24,1,18.8,40,5.75,1.72,25.6,0.0934,391,213,0.82,27.66,483,6.52,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,37,1,18.9,51,5.8,1.72,25.7,0.0922,391,203,0.9,41.25,946,9.72,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,49,1,19.2,81,5.9,1.73,25.9,0.0906,392,197,0.94,54.99,1530,12.96,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,61,1,19.3,132,5.97,1.73,26,0.0881,392,190,1,68.6,2219,16.17,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,49,1.5,19.4,141,6.01,1.73,26.1,0.0869,392,247,0.96,54.25,1524,12.79,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,37,1.5,19.5,103,6.02,1.73,26.1,0.0852,392,253,0.92,39.9,940,9.41,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,24,1.5,19.3,83,5.97,1.71,26,0.0829,393,261,0.87,25.82,472,6.09,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,18,1.5,19.2,78,5.93,1.7,25.9,0.0804,393,267,0.84,19.15,290,4.51,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,12,1.5,19.2,74,5.92,1.69,25.9,0.0782,393,274,0.8,12.67,147,2.99,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,9,1.5,18.9,72,5.81,1.67,25.7,0.0771,392,280,0.76,9.43,91,2.22,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,6,1.5,18.7,71,5.74,1.66,25.5,0.0759,392,287,0.72,6.3,47,1.49,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,4,1.5,18.5,69,5.68,1.65,25.4,0.0747,392,294,0.66,4.27,25,1.01,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,3,1.5,18.2,69,5.58,1.63,25.2,0.0736,392,302,0.61,3.27,16,0.77,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,3,0.6,18,13,5.48,1.62,25,0.0724,393,203,0.63,3.13,15,0.74,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,6,0.6,18,14,5.5,1.62,25,0.0716,393,188,0.7,6.17,46,1.45,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,12,0.6,18.1,14,5.53,1.62,25.1,0.071,391,179,0.74,12.44,148,2.93,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,24,0.6,18.2,17,5.59,1.62,25.2,0.0694,391,163,0.84,24.79,465,5.84,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,49,0.6,18.1,51,5.55,1.61,25.1,0.0689,391,151,0.91,49.23,1468,11.6,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,4,0.6,17.8,13,5.41,1.59,24.8,0.0681,394,199,0.67,4.43,26,1.04,Tsai,,
M250YS,3.1,,Low surf tens,,,,,,,,,,,,4,1,26.3,31,9.17,2.13,31.7,0.1017,395,221,0.66,4.73,49,1.12,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,6,1,26,33,9.01,2.11,31.4,0.0992,395,199,0.78,7.96,120,1.88,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,12,1,25.3,35,8.68,2.06,30.9,0.0966,394,194,0.83,15.39,377,3.63,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,18,1,25.2,37,8.64,2.05,30.8,0.0941,394,188,0.87,22.95,743,5.41,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,24,1,25.1,45,8.59,2.04,30.7,0.0932,393,182,0.91,30.23,1188,7.13,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,37,1,24.9,186,8.45,2.02,30.5,0.0913,393,180,0.96,45.1,2336,10.63,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,9,1,24.9,34,8.47,2,30.5,0.0869,394,201,0.83,11.19,231,2.64,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,4,1,24.7,33,8.39,1.98,30.4,0.0846,392,218,0.75,5.46,70,1.29,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,3,1.5,24.9,67,8.46,1.98,30.5,0.0822,392,275,0.68,3.85,40,0.91,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,4,1.5,24.5,68,8.29,1.96,30.2,0.0799,393,271,0.74,5.28,68,1.24,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,6,1.5,24.1,71,8.07,1.92,29.8,0.0776,393,264,0.81,7.18,117,1.69,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,9,1.5,23.8,75,7.92,1.91,29.6,0.0773,394,261,0.84,10.5,228,2.48,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,12,1.5,23.4,79,7.73,1.88,29.2,0.0757,394,259,0.88,13.75,364,3.24,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,18,1.5,22.9,91,7.52,1.86,28.9,0.0746,393,258,0.9,20.47,715,4.82,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,24,1.5,22.6,109,7.36,1.84,28.6,0.0735,393,253,0.95,27.16,1155,6.4,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,37,1.5,22.2,202,7.16,1.81,28.2,0.0731,393,247,1.01,40.46,2261,9.54,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,25,0.6,21.6,29,6.92,1.78,27.8,0.0721,394,144,0.9,27.42,1168,6.46,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,12,0.6,21.4,16,6.83,1.76,27.6,0.0687,394,156,0.85,13.61,364,3.21,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,6,0.6,21.2,15,6.77,1.75,27.5,0.0678,395,168,0.79,6.76,113,1.59,Tsai,,
M250YS,3.1,,,,,,,,,,,,,,4,0.6,21.1,14,6.73,1.74,27.4,0.0669,395,180,0.74,4.41,56,1.04,Tsai,,
M125Y,3.2,,Baseline,,,,,,,,,,,,3,1,25.8,18,8.91,2.11,31.2,0.1002,394,291,0.69,8.78,57,2.07,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,6,1,25.9,19,8.97,2.11,31.3,0.0984,394,278,0.81,17.76,189,4.19,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,9,1,25.6,19,8.8,2.08,31,0.0965,394,274,0.84,26.19,368,6.17,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,12,1,25.4,20,8.71,2.07,30.9,0.0947,392,270,0.88,34.6,591,8.15,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,18,1,25.5,21,8.74,2.07,30.9,0.0945,392,263,0.95,51.78,1161,12.2,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,24,1,25.5,22,8.77,2.07,31,0.0937,392,259,0.99,68.99,1875,16.26,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,37,1,25.6,29,8.82,2.07,31.1,0.0928,391,251,1.06,103.45,3681,24.38,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,49,1,25.5,44,8.77,2.06,31,0.092,390,246,1.11,138.07,5946,32.54,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,61,1,25.5,67,8.77,2.06,31,0.091,390,242,1.16,173.1,8646,40.8,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,72,1,25.6,90,8.81,2.06,31,0.0898,389,235,1.23,206.31,11528,48.63,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,3,1.5,25.2,37,8.63,2.03,30.8,0.0882,389,320,0.73,8.69,59,2.05,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,4,1.5,25.2,38,8.63,2.02,30.8,0.0866,387,315,0.77,12.01,102,2.83,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,6,1.5,25.1,38,8.58,2.01,30.7,0.0849,387,312,0.82,17.11,187,4.03,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,9,1.5,24.8,39,8.41,1.99,30.4,0.0833,386,309,0.86,25.12,361,5.92,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,12,1.5,24.6,41,8.3,1.98,30.2,0.083,387,307,0.91,33.46,588,7.89,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,18,1.5,24.5,43,8.24,1.97,30.1,0.0825,386,301,0.98,49.9,1150,11.76,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,24,1.5,24.7,46,8.35,1.98,30.3,0.0817,385,299,1,66.38,1853,15.65,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,37,1.5,24.6,57,8.31,1.97,30.2,0.0809,386,294,1.08,99.57,3642,23.47,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,49,1.5,24.7,75,8.35,1.97,30.3,0.08,387,289,1.16,132.93,5892,31.33,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,61,1.5,24.8,99,8.44,1.97,30.4,0.0789,389,287,1.22,166.14,8524,39.16,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,3,0.6,25.3,7,8.71,1.99,30.8,0.0775,389,246,0.72,8.75,62,2.06,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,12,0.6,25.2,8,8.62,1.98,30.7,0.0762,388,225,0.88,33.35,584,7.86,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,25,0.6,25.1,9,8.59,1.97,30.7,0.0757,388,210,1.01,67.1,1871,15.82,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,72,0.6,25.2,60,8.66,1.98,30.8,0.0749,387,186,1.2,199.12,11355,46.93,Tsai,,
M125Y,3.2,,Low surf tens,,,,,,,,,,,,3,1,30.1,17,11.56,2.35,35,0.0996,391,276,0.73,9.27,128,2.19,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,6,1,30.5,18,11.86,2.36,35.4,0.0967,390,261,0.86,19.71,457,4.65,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,9,1,30.2,19,11.61,2.34,35.1,0.0962,391,255,0.91,29.39,907,6.93,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,12,1,29.9,20,11.42,2.32,34.8,0.0959,389,252,0.93,38.82,1457,9.15,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,18,1,29.9,22,11.44,2.32,34.8,0.0954,391,245,1.01,57.93,2858,13.66,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,24,1,29.8,29,11.35,2.31,34.7,0.0947,391,242,1.05,76.8,4589,18.1,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,37,1,29.6,50,11.25,2.3,34.6,0.0934,390,235,1.12,114.93,9018,27.09,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,49,1,29.7,75,11.28,2.29,34.6,0.0924,389,230,1.17,152.93,14522,36.05,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,61,1,29.8,106,11.39,2.3,34.8,0.0908,389,223,1.23,192.13,21153,45.29,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,3,1.5,30.1,37,11.57,2.3,35,0.0884,388,308,0.78,8.96,127,2.11,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,4,1.5,30.1,39,11.62,2.29,35,0.0859,386,305,0.81,13.78,263,3.25,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,6,1.5,30.1,41,11.58,2.28,35,0.0834,387,300,0.88,19.03,460,4.49,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,9,1.5,30,44,11.53,2.27,34.9,0.0832,386,294,0.96,28.12,890,6.63,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,12,1.5,29.8,47,11.41,2.26,34.7,0.0829,387,291,1,37.27,1438,8.78,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,18,1.5,29.5,55,11.22,2.24,34.5,0.0821,387,289,1.05,55.61,2818,13.11,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,24,1.5,29.5,63,11.19,2.23,34.4,0.081,387,286,1.08,74.01,4559,17.45,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,37,1.5,29.5,91,11.21,2.23,34.5,0.0799,385,281,1.14,110.86,8964,26.13,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,49,1.5,29.7,135,11.34,2.24,34.6,0.0799,386,276,1.21,147.67,14395,34.81,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,61,0.6,29.9,56,11.47,2.24,34.8,0.0784,387,171,1.18,186.62,21018,43.99,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,24,0.6,30,12,11.56,2.25,34.9,0.0778,386,190,1.04,75.18,4586,17.72,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,12,0.6,30,9,11.52,2.24,34.9,0.0773,387,202,0.95,37.62,1445,8.87,Tsai,,
M125Y,3.2,,,,,,,,,,,,,,3,0.6,30.2,7,11.71,2.25,35.1,0.0768,385,225,0.79,9.79,153,2.31,Tsai,,
M2Y,3.1,,Baseline,,,,,,,,,,,,3,1,28.9,28,10.77,2.28,34,0.1009,436,263,0.66,6.04,29,1.42,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,6,1,28.8,28,10.72,2.26,33.9,0.0972,436,247,0.75,10.59,76,2.5,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,12,1,28.5,30,10.52,2.22,33.6,0.0936,436,239,0.82,20.66,240,4.87,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,24,1,28.5,33,10.52,2.22,33.6,0.0927,436,228,0.89,40.76,754,9.61,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,37,1,28.2,37,10.37,2.2,33.4,0.0914,435,222,0.94,60.9,1484,14.35,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,49,1,28.2,47,10.34,2.19,33.3,0.0904,435,216,0.98,80.77,2395,19.04,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,61,1,28.2,68,10.36,2.18,33.3,0.0885,436,211,1.02,100.35,3460,23.65,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,73,1,28.1,69,10.27,2.17,33.2,0.0872,436,211,1.04,120.22,4694,28.34,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,3,1.5,28.2,57,10.39,2.17,33.4,0.0844,422,313,0.65,4.16,17,0.98,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,6,1.5,27.7,60,10.07,2.13,32.9,0.0816,422,298,0.78,9.84,74,2.32,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,12,1.5,27.1,64,9.69,2.08,32.3,0.0787,420,293,0.84,19.35,236,4.56,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,18,1.5,26.7,67,9.47,2.06,32,0.0776,420,290,0.88,28.71,461,6.77,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,24,1.5,26.2,71,9.22,2.03,31.6,0.0767,424,288,0.93,37.7,735,8.89,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,37,1.5,25.8,81,9,2,31.3,0.0755,424,282,0.99,56.29,1446,13.27,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,49,1.5,25.5,96,8.83,1.98,31,0.0748,424,278,1.05,74.66,2333,17.6,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,61,1.5,25.3,146,8.72,1.96,30.8,0.0728,421,274,1.09,93.19,3384,21.97,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,73,0.6,25.3,24,8.69,1.96,30.8,0.071,471,167,1.07,112.09,4595,26.42,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,49,0.6,25.2,19,8.64,1.94,30.7,0.0688,471,180,1.01,74.74,2339,17.62,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,24,0.6,25.1,14,8.61,1.94,30.7,0.0682,471,189,0.97,37.24,735,8.78,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,12,0.6,25,13,8.58,1.92,30.6,0.0661,470,205,0.89,18.66,234,4.4,Tsai,,
M2Y,3.1,,,,,,,,,,,,,,3,0.6,24.8,11,8.49,1.9,30.5,0.0623,470,235,0.78,3.83,17,0.9,Tsai,,
F1Y,3,,Baseline,,,,,,,,,,,,6,1.5,34,133,14.52,2.56,38.5,0.0913,380,201,0.62,5.02,19,1.18,Tsai,,
F1Y,3,,,,,,,,,,,,,,12,1.5,33.3,144,13.99,2.52,37.9,0.0913,380,189,0.68,9.75,60,2.3,Tsai,,
F1Y,3,,,,,,,,,,,,,,18,1.5,32.9,159,13.64,2.49,37.5,0.0906,380,188,0.7,14.42,118,3.4,Tsai,,
F1Y,3,,,,,,,,,,,,,,24,1.5,32.5,180,13.31,2.46,37.1,0.0892,380,185,0.73,19.02,189,4.48,Tsai,,
F1Y,3,,,,,,,,,,,,,,31,1.5,32,214,12.95,2.42,36.7,0.0874,380,183,0.76,23.56,273,5.55,Tsai,,
F1Y,3,,,,,,,,,,,,,,37,1.5,31.8,290,12.77,2.39,36.5,0.0848,380,180,0.8,28,369,6.6,Tsai,,
F1Y,3,,,,,,,,,,,,,,6,1,29.4,80,11.11,2.3,34.4,0.0958,391,151,0.67,4.81,19,1.13,Tsai,,
F1Y,3,,,,,,,,,,,,,,12,1,29.5,68,11.17,2.31,34.5,0.0956,391,142,0.71,9.49,59,2.24,Tsai,,
F1Y,3,,,,,,,,,,,,,,18,1,29.6,84,11.26,2.31,34.6,0.0943,391,138,0.73,14.11,116,3.33,Tsai,,
F1Y,3,,,,,,,,,,,,,,24,1,29.8,89,11.36,2.31,34.7,0.0924,391,135,0.75,18.75,188,4.42,Tsai,,
F1Y,3,,,,,,,,,,,,,,37,1,30.1,128,11.59,2.32,35,0.0906,391,130,0.78,28.06,369,6.61,Tsai,,
F1Y,3,,,,,,,,,,,,,,49,1,30.2,261,11.66,2.31,35.1,0.0881,388,127,0.81,37.35,596,8.8,Tsai,,
F1Y,3,,,,,,,,,,,,,,6,0.6,33.4,12,14.03,2.53,38,0.0955,390,76,0.64,4.96,19,1.17,Tsai,,
F1Y,3,,,,,,,,,,,,,,12,0.6,33.4,19,14.03,2.52,38,0.0955,390,68,0.68,9.93,60,2.34,Tsai,,
F1Y,3,,,,,,,,,,,,,,18,0.6,33.5,55,14.14,2.53,38.1,0.0949,390,66,0.69,14.9,119,3.51,Tsai,,
F1Y,3,,,,,,,,,,,,,,25,0.6,33.4,34,14.08,2.52,38,0.0932,390,63,0.72,19.85,193,4.68,Tsai,,
F1Y,3,,,,,,,,,,,,,,37,0.6,33.4,39,14.1,2.51,38.1,0.0919,390,59,0.75,29.66,378,6.99,Tsai,,
F1Y,3,,Intermediate visc,,,,,,,,,,,,2,1,33.5,75,14.13,2.4,38.1,0.0885,411,191,0.53,0.28,2,0.07,Tsai,,
F1Y,3,,,,,,,,,,,,,,6,1,33.8,92,14.39,2.41,38.4,0.0865,411,160,0.65,0.69,11,0.16,Tsai,,
F1Y,3,,,,,,,,,,,,,,12,1,32.8,162,13.58,2.34,37.4,0.085,408,151,0.71,1.34,35,0.32,Tsai,,
F1Y,3,,,,,,,,,,,,,,24,1,34.1,103,14.64,2.39,38.6,0.0807,398,132,0.79,2.72,111,0.64,Tsai,,
F1Y,3,,,,,,,,,,,,,,31,1,34.3,231,14.8,2.4,38.8,0.0796,398,134,0.78,3.37,161,0.8,Tsai,,
F1Y,3,,,,,,,,,,,,,,18,1,34.3,225,14.85,2.39,38.8,0.0781,401,146,0.73,2.03,69,0.48,Tsai,,
F1Y,3,,,,,,,,,,,,,,2,1.5,34.7,155,15.21,2.4,39.2,0.0751,388,243,0.52,0.28,2,0.07,Tsai,,
F1Y,3,,,,,,,,,,,,,,6,1.5,34.9,168,15.39,2.39,39.4,0.071,388,224,0.63,0.69,11,0.16,Tsai,,
F1Y,3,,,,,,,,,,,,,,12,1.5,34.6,249,15.14,2.35,39.1,0.067,383,208,0.72,1.32,35,0.31,Tsai,,
P500,3.1,,Baseline,,,,,,,,,,,,3,1.5,29.8,213,11.39,2.33,34.8,0.098,392,187,0.61,2.1,5,0.5,Tsai,,
P500,3.1,,,,,,,,,,,,,,6,1.5,29.7,240,11.31,2.29,34.6,0.0928,392,173,0.69,3.83,14,0.9,Tsai,,
P500,3.1,,,,,,,,,,,,,,9,1.5,29.4,274,11.13,2.25,34.4,0.0876,386,169,0.72,5.6,27,1.32,Tsai,,
P500,3.1,,,,,,,,,,,,,,12,1.5,29.3,299,11.06,2.24,34.3,0.086,386,170,0.73,7.35,44,1.73,Tsai,,
P500,3.1,,,,,,,,,,,,,,18,1.5,29.2,410,10.97,2.23,34.2,0.0846,384,170,0.73,11,87,2.59,Tsai,,
P500,3.1,,,,,,,,,,,,,,3,1,29.3,99,11.07,2.22,34.3,0.0823,384,136,0.63,2.06,5,0.48,Tsai,,
P500,3.1,,,,,,,,,,,,,,6,1,29.4,104,11.17,2.22,34.4,0.0799,384,129,0.67,3.61,14,0.85,Tsai,,
