Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
B350X,3.01,,,,,,,,,,,,,,73.3,0.99,22,,7.04,1.91,28.1,0.11,385,178,0.69,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,1.2,1.49,12.4,,3.75,1.47,21,0.1,402,312,0.43,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,2.5,1.48,12.5,,3.78,1.47,21.1,0.1,402,302,0.49,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,3.7,1.48,12.7,,3.84,1.48,21.2,0.1,402,286,0.57,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,4.9,1.49,13,,3.92,1.5,21.4,0.1,402,283,0.59,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,6.1,1.48,13.5,,4.06,1.52,21.8,0.1,402,276,0.62,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,12.2,1.49,14.1,,4.21,1.54,22.2,0.1,402,263,0.69,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,24.4,1.48,17.2,,5.19,1.68,24.5,0.11,402,254,0.69,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,36.7,1.48,16.2,,4.87,1.63,23.8,0.11,402,242,0.78,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,48.9,1.49,15.5,,4.64,1.6,23.2,0.11,402,239,0.81,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,61.1,1.48,14.8,,4.44,1.57,22.7,0.11,402,238,0.83,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,73.3,1.49,14.6,,4.36,1.56,22.5,0.11,402,234,0.87,,,,Wang,,
B350X,3.01,,,,,,,,,,,,,,24.4,1.98,11.1,,3.43,1.42,20.1,0.1,402,293,0.75,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,6.1,0.59,27.6,,9.97,2.21,32.9,0.11,395,107,0.67,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,12.2,0.59,27.7,,10.04,2.22,33,0.11,395,99,0.72,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,24.4,0.59,27.8,,10.06,2.23,33,0.1,395,93,0.76,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,36.7,0.59,28.9,,10.67,2.29,33.8,0.09,395,88,0.8,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,48.9,0.59,26.2,,9.05,2.15,31.4,0.08,395,107,0.8,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,61.1,0.59,26.5,,9.16,2.16,31.6,0.08,395,106,0.81,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,73.3,0.59,26.9,,9.39,2.19,31.9,0.08,395,97,0.87,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,6.1,0.99,28.3,,10.41,2.26,33.5,0.11,395,183,0.66,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,12.2,0.99,28.4,,10.41,2.26,33.5,0.1,395,171,0.73,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,24.5,0.99,28,,10.2,2.24,33.2,0.1,395,162,0.78,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,36.7,0.99,28.3,,10.37,2.26,33.4,0.1,395,159,0.81,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,48.9,0.99,28.4,,10.42,2.27,33.5,0.1,395,156,0.83,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,61.1,0.99,24.7,,8.3,2.06,30.3,0.09,395,154,0.9,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,6.1,1.49,34,,14.65,2.61,38.8,0.12,395,213,0.67,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,12.2,1.48,33.9,,14.52,2.6,38.6,0.11,395,203,0.72,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,24.5,1.49,29.3,,10.94,2.32,34.2,0.09,395,213,0.84,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,36.7,1.49,29.1,,10.81,2.31,34,0.09,395,206,0.88,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,48.9,1.48,27.2,,9.74,2.2,32.6,0.11,395,195,0.89,,,,Wang,,
GTC350Y,2.79,,,,,,,,,,,,,,24.4,1.65,32.7,,13.47,2.52,37.4,0.1,388,216,0.77,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,6.1,0.59,17.5,,5.27,1.69,24.6,0.1,410,174,0.74,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,12.2,0.59,17.5,,5.26,1.69,24.6,0.1,410,168,0.78,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,24.5,0.59,17.3,,5.21,1.68,24.5,0.1,410,153,0.87,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,36.7,0.59,17.2,,5.16,1.68,24.4,0.1,410,145,0.92,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,48.9,0.59,17.1,,5.13,1.68,24.3,0.1,410,140,0.95,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,61.1,0.59,17.2,,5.16,1.68,24.4,0.1,410,134,0.99,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,73.3,0.59,17.4,,5.23,1.69,24.5,0.1,410,130,1.03,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,6.1,0.99,15,,4.47,1.57,22.8,0.11,392,228,0.81,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,12.2,0.99,14.6,,4.36,1.56,22.5,0.1,392,222,0.85,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,24.4,0.99,14.1,,4.21,1.54,22.2,0.1,392,209,0.96,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,36.7,0.99,13.9,,4.15,1.53,22,0.1,392,203,1.01,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,48.9,0.99,13.6,,4.08,1.52,21.8,0.1,392,202,1.04,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,61.1,0.99,13.5,,4.05,1.51,21.7,0.1,392,194,1.11,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,73.3,0.99,13.5,,4.04,1.51,21.7,0.1,392,185,1.18,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,6.1,1.48,14,,4.2,1.53,22.2,0.11,382,266,0.8,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,12.2,1.49,13.6,,4.09,1.51,21.9,0.11,382,257,0.89,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,24.4,1.49,12.7,,3.86,1.48,21.3,0.11,382,250,0.97,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,36.7,1.48,12.4,,3.77,1.46,21,0.11,382,246,1.02,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,48.9,1.49,12.2,,3.71,1.46,20.9,0.11,382,242,1.07,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,61.1,1.49,12.1,,3.69,1.45,20.8,0.11,382,238,1.12,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,36.7,1.98,12.4,,3.76,1.47,21,0.1,382,273,1.07,,,,Wang,,
M250Y,2.92,,,,,,,,,,,,,,36.7,2.31,25,,8.48,2.11,31.2,0.1,382,282,1.05,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,6.2,0.59,15.6,,4.68,1.6,23.3,0.11,415,170,0.77,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,12.2,0.59,15.5,,4.66,1.6,23.3,0.11,415,166,0.79,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,24.5,0.59,15.2,,4.54,1.58,23,0.11,415,155,0.86,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,36.7,0.59,15,,4.51,1.58,22.9,0.11,415,147,0.91,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,48.9,0.59,15,,4.49,1.58,22.9,0.11,415,148,0.91,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,61.1,0.59,15,,4.49,1.58,22.9,0.11,415,147,0.92,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,73.3,0.59,15.1,,4.51,1.58,22.9,0.11,415,139,0.98,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,6.1,0.99,15.1,,4.52,1.58,22.9,0.11,406,254,0.69,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,12.2,0.99,15,,4.5,1.58,22.9,0.11,406,239,0.79,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,24.5,0.99,14.4,,4.32,1.55,22.5,0.11,406,228,0.87,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,36.7,0.99,14.1,,4.21,1.54,22.2,0.1,406,221,0.92,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,48.9,0.99,13.8,,4.15,1.53,22,0.1,406,215,0.98,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,61.1,0.99,13.7,,4.11,1.52,21.9,0.1,406,210,1.02,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,73.3,0.99,13.6,,4.07,1.52,21.8,0.1,406,204,1.07,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,5.8,1.48,17.2,,5.19,1.67,24.5,0.11,403,278,0.78,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,12.2,1.49,16.9,,5.11,1.66,24.3,0.11,403,271,0.84,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,24.5,1.49,16.3,,4.91,1.63,23.8,0.11,403,264,0.91,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,36.7,1.49,16,,4.79,1.62,23.6,0.11,403,259,0.96,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,48.9,1.48,15.9,,4.75,1.61,23.5,0.11,403,253,1.02,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,61.1,1.49,15.7,,4.69,1.61,23.3,0.11,403,247,1.08,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,73.3,1.48,15.6,,4.66,1.6,23.3,0.11,403,238,1.16,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,36.7,1.98,15.3,,4.56,1.59,23,0.1,403,289,1,,,,Wang,,
M250X,2.91,,,,,,,,,,,,,,36.7,2.31,15,,4.48,1.58,22.8,0.1,403,303,1.01,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,6.1,0.59,33.8,,14.35,2.6,38.4,0.11,411,61,0.56,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,12.2,0.59,33.7,,14.27,2.59,38.3,0.1,411,53,0.6,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,24.4,0.59,33.6,,14.17,2.58,38.2,0.1,411,47,0.64,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,36.7,0.59,33.6,,14.22,2.59,38.2,0.1,411,42,0.68,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,48.9,0.59,33.7,,14.29,2.6,38.3,0.1,411,40,0.7,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,61.1,0.59,33.7,,14.22,2.59,38.2,0.1,411,41,0.69,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,73.4,0.59,33,,13.65,2.55,37.6,0.09,411,48,0.67,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,6.1,0.99,28.9,,10.82,2.28,34.1,0.12,409,144,0.54,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,12.2,0.99,28.8,,10.73,2.27,34,0.12,409,134,0.58,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,24.5,0.99,28.8,,10.72,2.28,33.9,0.11,409,121,0.64,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,36.7,0.99,28.9,,10.81,2.28,34.1,0.11,409,115,0.66,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,48.9,0.99,29.1,,10.93,2.3,34.2,0.11,409,110,0.69,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,6.1,1.49,29.7,,11.34,2.34,34.7,0.11,409,209,0.53,,,,Wang,,
GTC 500Y,3.06,,,,,,,,,,,,,,12.2,1.49,29.7,,11.28,2.33,34.7,0.11,409,198,0.58,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,12.2,0.59,22.8,,7.44,1.95,28.9,0.11,412,223,0.93,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,24.4,0.59,22.9,,7.47,1.95,28.9,0.11,412,210,1.03,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,36.9,0.59,23,,7.5,1.96,29,0.11,412,202,1.08,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,48.9,0.59,23,,7.51,1.96,29,0.11,412,195,1.14,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,61.6,0.6,23.1,,7.53,1.96,29,0.11,412,188,1.2,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,73.3,0.59,23.4,,7.67,1.98,29.3,0.11,412,181,1.25,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,12.2,0.99,27.2,,9.73,2.19,32.5,0.11,392,261,0.94,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,24.5,0.99,27,,9.59,2.17,32.3,0.11,392,252,1.03,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,36.7,0.99,27.2,,9.73,2.19,32.5,0.11,392,246,1.08,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,48.9,0.99,27.2,,9.7,2.19,32.5,0.11,392,241,1.14,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,60.9,0.99,27.2,,9.69,2.19,32.5,0.11,392,236,1.19,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,73,0.99,27,,9.59,2.18,32.3,0.11,392,230,1.26,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,12.2,1.49,26.3,,9.19,2.13,31.7,0.11,397,302,0.97,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,24.5,1.48,26.3,,9.2,2.14,31.7,0.11,397,294,1.07,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,36.7,1.48,26.7,,9.42,2.16,32,0.11,397,289,1.13,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,48.9,1.48,26.9,,9.52,2.17,32.2,0.11,397,285,1.17,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,61.1,1.49,26.9,,9.52,2.17,32.2,0.11,397,280,1.24,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,73.3,1.49,26.9,,9.54,2.17,32.2,0.1,397,276,1.3,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,36.7,1.98,27,,9.57,2.18,32.3,0.1,397,311,1.17,,,,Wang,,
M125Y,2.92,,,,,,,,,,,,,,36.7,2.47,27.2,,9.72,2.19,32.5,0.1,394,323,1.2,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,6.1,0.59,22.5,,7.3,1.93,28.6,0.11,410,138,0.98,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,12.2,0.59,22.5,,7.27,1.93,28.6,0.11,409,130,1.04,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,24.5,0.59,22.4,,7.25,1.93,28.5,0.11,409,120,1.12,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,36.7,0.59,22.5,,7.26,1.93,28.6,0.11,408,118,1.14,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,48.9,0.59,22.5,,7.29,1.94,28.6,0.11,407,121,1.12,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,60.3,0.59,22.9,,7.46,1.95,28.9,0.11,406,120,1.13,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,73.3,0.59,23,,7.48,1.96,28.9,0.1,405,124,1.1,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,6.1,0.99,22.5,,7.29,1.93,28.6,0.11,404,210,1.01,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,12.2,0.99,21.8,,6.95,1.9,28,0.1,404,208,1.05,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,24.5,0.99,21.1,,6.66,1.87,27.4,0.1,404,197,1.16,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,36.7,0.99,20.7,,6.45,1.84,27,0.1,404,194,1.2,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,48.9,0.99,20.1,,6.24,1.82,26.6,0.1,404,196,1.22,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,61.1,0.99,19.8,,6.12,1.8,26.4,0.1,403,196,1.24,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,73.4,1,19.6,,6,1.79,26.1,0.09,403,190,1.34,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,6.1,1.48,15.7,,4.72,1.6,23.4,0.11,413,275,1.05,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,12.2,1.49,15.3,,4.57,1.58,23.1,0.11,413,273,1.09,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,24.4,1.49,14.9,,4.46,1.57,22.8,0.11,413,265,1.18,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,36.7,1.48,14.8,,4.43,1.57,22.7,0.11,413,260,1.23,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,48.9,1.48,14.8,,4.44,1.57,22.7,0.11,413,256,1.29,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,60.9,1.49,15.1,,4.5,1.58,22.9,0.1,413,252,1.34,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,73.3,1.49,15.3,,4.56,1.6,23,0.1,413,246,1.41,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,36.7,1.98,15.5,,4.6,1.61,23.1,0.1,413,296,1.22,,,,Wang,,
RSP 200X,3.05,,,,,,,,,,,,,,36.7,2.47,15.9,,4.74,1.63,23.4,0.1,411,312,1.26,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,6.1,0.59,18.7,,5.71,1.75,25.6,0.11,404,191,0.61,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,12.2,0.59,18.6,,5.67,1.74,25.5,0.11,404,160,0.76,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,24.5,0.59,18.9,,5.8,1.76,25.7,0.11,404,142,0.85,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,36.7,0.59,19.1,,5.85,1.77,25.9,0.11,404,136,0.88,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,48.9,0.59,19.2,,5.9,1.77,25.9,0.11,404,135,0.89,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,61.1,0.59,20.1,,6.24,1.82,26.6,0.11,404,127,0.93,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,73.4,0.6,19.7,,6.08,1.8,26.3,0.11,404,120,0.99,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,6.1,0.99,23.2,,7.61,1.97,29.1,0.11,400,239,0.63,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,12.2,0.99,22.6,,7.34,1.94,28.7,0.11,400,212,0.79,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,24.4,0.99,22.3,,7.19,1.92,28.4,0.11,400,198,0.88,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,36.6,0.99,22,,7.05,1.91,28.2,0.11,400,190,0.94,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,48.9,0.99,21.6,,6.88,1.89,27.8,0.11,400,186,0.97,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,61.1,0.99,21.3,,6.76,1.88,27.6,0.11,400,177,1.04,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,6.1,1.48,17,,5.13,1.67,24.3,0.11,406,296,0.67,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,12.2,1.48,16.6,,4.97,1.65,24,0.11,406,274,0.84,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,24.5,1.48,16.1,,4.81,1.63,23.6,0.11,406,260,0.96,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,36.7,1.49,16.1,,4.81,1.63,23.6,0.11,406,249,1.06,,,,Wang,,
RSR 0.5,2.79,,,,,,,,,,,,,,24.5,1.65,16,,4.8,1.63,23.6,0.1,406,268,1.01,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,6.1,0.59,27.2,,9.67,2.19,32.4,0.1,401,167,0.88,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,12.2,0.59,27.1,,9.64,2.19,32.4,0.1,401,149,1,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,24.4,0.59,27,,9.57,2.18,32.3,0.1,401,136,1.1,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,36.7,0.59,27.1,,9.62,2.19,32.3,0.1,401,129,1.15,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,48.9,0.59,27,,9.56,2.18,32.2,0.1,401,124,1.2,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,61.1,0.59,27,,9.57,2.19,32.3,0.1,401,119,1.25,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,73.3,0.59,27.1,,9.59,2.19,32.3,0.1,401,115,1.29,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,6.1,0.99,28.1,,10.22,2.25,33.2,0.1,393,222,0.93,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,12.2,0.99,28.1,,10.21,2.25,33.2,0.1,393,209,1.03,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,24.5,0.99,27.8,,10.08,2.24,33,0.1,393,195,1.16,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,36.7,0.99,27.7,,9.98,2.23,32.9,0.1,393,189,1.22,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,48.9,0.99,27.6,,9.91,2.22,32.8,0.1,393,184,1.27,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,61.1,0.99,27.6,,9.93,2.22,32.8,0.1,393,177,1.34,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,73.3,0.99,27.7,,9.97,2.23,32.8,0.1,393,172,1.39,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,6.1,1.49,31.2,,12.25,2.45,35.9,0.09,387,259,0.99,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,12.2,1.48,32.3,,13.12,2.52,36.9,0.1,387,244,1.06,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,24.5,1.48,31.5,,12.52,2.47,36.2,0.1,387,234,1.19,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,36.7,1.48,31.3,,12.33,2.45,36,0.1,387,228,1.26,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,48.9,1.48,31.1,,12.18,2.44,35.8,0.09,387,225,1.31,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,61.1,1.48,31.1,,12.17,2.44,35.8,0.09,387,221,1.36,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,73.3,1.48,30.9,,12.06,2.43,35.6,0.09,387,215,1.43,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,36.7,1.98,30.6,,11.8,2.41,35.3,0.09,387,260,1.33,,,,Wang,,
RSR 0.7,2.91,,,,,,,,,,,,,,36.7,2.31,30.4,,11.7,2.4,35.1,0.09,387,273,1.38,,,,Wang,,
