Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
RSR 0.3,2.94,,,,,,,,,,,,,,6.1,0.59,29.2,,11,2.31,34.3,0.11,404,138,0.58,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,12.2,0.59,28.5,,10.54,2.26,33.7,0.11,404,119,0.67,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,24.4,0.59,28.1,,10.27,2.24,33.3,0.11,404,106,0.74,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,36.7,0.59,27.7,,10,2.22,32.9,0.1,404,101,0.77,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,48.9,0.59,27.2,,9.71,2.19,32.5,0.1,404,100,0.8,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,61.1,0.59,27,,9.57,2.18,32.2,0.1,404,101,0.8,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,73.4,0.59,26.6,,9.34,2.16,31.9,0.1,404,102,0.8,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,6.1,0.99,28,,10.27,2.23,33.3,0.11,401,203,0.61,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,12.2,0.99,27.6,,10,2.21,32.9,0.11,401,187,0.69,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,24.5,0.99,27.3,,9.82,2.19,32.7,0.11,401,175,0.76,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,36.7,0.99,26.9,,9.56,2.17,32.3,0.11,401,169,0.81,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,48.9,0.99,26.5,,9.3,2.15,31.9,0.11,401,167,0.83,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,61.2,0.99,26.6,,9.35,2.16,31.9,0.1,401,162,0.86,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,6.1,1.48,29.4,,11.11,2.32,34.4,0.1,393,244,0.65,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,12.2,1.49,28.8,,10.67,2.28,33.8,0.1,393,233,0.73,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,24.5,1.49,28.2,,10.32,2.25,33.3,0.1,393,223,0.8,,,,Wang,,
RSR 0.3,2.94,,,,,,,,,,,,,,12.2,1.65,23.2,,7.57,1.98,29.1,0.1,393,253,0.76,,,,Wang,,
GTO 250Y,3,,,,,,,,,,,,,,6.3,0.6,25.4,,,2.09,310,,381.7,139.3,0.71,,,,Song,0.00%,0.108
GTO 250Y,3,,,,,,,,,,,,,,12.2,0.6,25.4,,,2.09,309,,382.4,132.1,0.75,,,,Song,0.00%,0.107
GTO 250Y,3,,,,,,,,,,,,,,24.4,0.59,25,,,2.07,306,,380.8,123.2,0.8,,,,Song,0.00%,0.106
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.59,25.1,,,2.07,307,,381.9,113.2,0.86,,,,Song,0.00%,0.105
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.6,24.9,,,2.06,305,,381,110.7,0.89,,,,Song,0.00%,0.103
GTO 250Y,3,,,,,,,,,,,,,,61.1,0.6,24.8,,,2.06,304,,381.1,107.5,0.92,,,,Song,0.00%,0.102
GTO 250Y,3,,,,,,,,,,,,,,73.3,0.58,25.3,,,2.09,308,,380,95.1,0.98,,,,Song,0.00%,0.099
GTO 250Y,3,,,,,,,,,,,,,,6,0.99,21.2,,,1.88,274,,382.2,218.6,0.76,,,,Song,0.00%,0.094
GTO 250Y,3,,,,,,,,,,,,,,12.3,0.99,21.1,,,1.87,273,,381.9,207.8,0.82,,,,Song,0.00%,0.095
GTO 250Y,3,,,,,,,,,,,,,,24.4,0.99,21.1,,,1.87,273,,382.6,204.6,0.84,,,,Song,0.00%,0.094
GTO 250Y,3,,,,,,,,,,,,,,36.6,0.98,21.1,,,1.88,273,,382.1,197.3,0.89,,,,Song,0.00%,0.094
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.99,20.7,,,1.85,270,,383.3,182.7,1,,,,Song,0.00%,0.096
GTO 250Y,3,,,,,,,,,,,,,,61.1,0.99,20.9,,,1.86,271,,383.8,172.2,1.09,,,,Song,0.00%,0.094
GTO 250Y,3,,,,,,,,,,,,,,6.2,1.49,25.5,,,2.1,309,,368.9,250.3,0.74,,,,Song,0.00%,0.109
GTO 250Y,3,,,,,,,,,,,,,,12.2,1.49,26.1,,,2.14,314,,369.1,235.3,0.84,,,,Song,0.00%,0.111
GTO 250Y,3,,,,,,,,,,,,,,24.5,1.49,25.9,,,2.13,312,,367.8,232.9,0.86,,,,Song,0.00%,0.11
GTO 250Y,3,,,,,,,,,,,,,,36.7,1.48,25.6,,,2.11,310,,369,227.5,0.92,,,,Song,0.00%,0.108
GTO 250Y,3,,,,,,,,,,,,,,48.9,1.48,26.3,,,2.15,315,,368.8,209.4,1.06,,,,Song,0.00%,0.11
GTO 250Y,3,,,,,,,,,,,,,,24.4,1.98,25.5,,,2.11,308,,367.2,262.6,0.88,,,,Song,0.00%,0.104
GTO 250Y,3,,,,,,,,,,,,,,36.7,1.98,25.3,,,2.1,306,,366.7,257.6,0.94,,,,Song,0.00%,0.102
GTO 250Y,3,,,,,,,,,,,,,,24.5,2.47,25.8,,,2.12,311,,367.2,279.5,0.89,,,,Song,0.00%,0.105
GTO 250Y,3,,,,,,,,,,,,,,12.2,0.99,25.2,,,2.08,307,,386.4,203.6,0.77,,,,Song,0.00%,0.1
GTO 250Y,3,,,,,,,,,,,,,,24.4,0.99,24.4,,,2.04,300,,388.5,194.7,0.86,,,,Song,0.00%,0.096
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.99,24.1,,,2.03,297,,388.2,186.8,0.94,,,,Song,0.00%,0.091
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.99,24,,,2.02,295,,390.4,178.2,1.04,,,,Song,0.00%,0.086
GTO 250Y,3,,,,,,,,,,,,,,61.1,1,24,,,2.03,295,,387.8,168.5,1.14,,,,Song,0.00%,0.082
GTO 250Y,3,,,,,,,,,,,,,,12.2,0.59,21.2,,,0.12,572,,401.2,325.7,0.65,,,,Song,77.00%,0.05
GTO 250Y,3,,,,,,,,,,,,,,24.5,0.6,21.4,,,0.12,575,,396.7,321.3,0.66,,,,Song,77.00%,0.048
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.59,21.6,,,0.12,577,,399.4,304.5,0.84,,,,Song,77.00%,0.046
GTO 250Y,3,,,,,,,,,,,,,,48.8,0.6,21.9,,,0.12,580,,395.2,296.8,0.89,,,,Song,77.00%,0.044
GTO 250Y,3,,,,,,,,,,,,,,18.5,0.59,21.6,,,0.12,578,,395.4,315.6,0.71,,,,Song,77.00%,0.044
GTO 250Y,3,,,,,,,,,,,,,,30.6,0.6,21.2,,,0.12,574,,396.3,307.7,0.84,,,,Song,77.00%,0.042
GTO 250Y,3,,,,,,,,,,,,,,42.8,0.59,20.8,,,0.11,571,,398.7,305.7,0.9,,,,Song,77.00%,0.04
GTO 250Y,3,,,,,,,,,,,,,,6.3,0.6,20.1,,,0.11,565,,400.9,331.7,0.68,,,,Song,77.00%,0.041
GTO 250Y,3,,,,,,,,,,,,,,12.3,0.6,22.1,,,0.26,539,,393.7,252.2,0.64,,,,Song,64.60%,0.103
GTO 250Y,3,,,,,,,,,,,,,,24.4,0.6,22.4,,,0.26,541,,392.7,243.3,0.69,,,,Song,64.60%,0.098
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.6,22,,,0.25,538,,392.8,220.4,0.85,,,,Song,64.60%,0.096
GTO 250Y,3,,,,,,,,,,,,,,48.8,0.59,21.6,,,0.25,534,,396.5,215.8,0.9,,,,Song,64.60%,0.093
GTO 250Y,3,,,,,,,,,,,,,,61.1,0.6,21.6,,,0.25,534,,393.9,212.3,0.94,,,,Song,64.60%,0.09
GTO 250Y,3,,,,,,,,,,,,,,12.2,0.59,24.2,,,0.63,472,,385.3,181,0.61,,,,Song,45.20%,0.093
GTO 250Y,3,,,,,,,,,,,,,,24.4,0.6,23.2,,,0.61,461,,384,170.4,0.69,,,,Song,45.20%,0.089
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.59,22.5,,,0.58,457,,386.2,158.4,0.79,,,,Song,45.20%,0.086
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.6,21.7,,,0.56,450,,395.7,146.7,0.95,,,,Song,45.20%,0.081
GTO 250Y,3,,,,,,,,,,,,,,61.1,0.57,20.8,,,0.54,442,,403.2,146.8,0.96,,,,Song,45.20%,0.078
GTO 250Y,3,,,,,,,,,,,,,,24.5,0.6,19.8,,,0.52,432,,399,185.7,0.8,,,,Song,45.20%,0.077
GTO 250Y,3,,,,,,,,,,,,,,6.1,0.6,21.3,,,0.09,583,,384.8,310.7,0.59,,,,Song,79.90%,0.088
GTO 250Y,3,,,,,,,,,,,,,,12,0.59,22.5,,,0.1,594,,383.9,300.3,0.63,,,,Song,79.90%,0.087
GTO 250Y,3,,,,,,,,,,,,,,24.5,0.6,23.4,,,0.11,602,,382,284,0.74,,,,Song,79.90%,0.085
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.6,24,,,0.11,607,,379.3,267.8,0.85,,,,Song,79.90%,0.083
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.59,24.5,,,0.11,612,,376.3,263.1,0.85,,,,Song,79.90%,0.08
GTO 250Y,3,,,,,,,,,,,,,,6.1,0.6,20.5,,,0.25,520,,384.9,261.1,0.59,,,,Song,63.70%,0.096
GTO 250Y,3,,,,,,,,,,,,,,12.1,0.6,20.6,,,0.25,521,,384.6,255.9,0.62,,,,Song,63.70%,0.093
GTO 250Y,3,,,,,,,,,,,,,,24.5,0.6,20.5,,,0.25,521,,384.5,246.5,0.68,,,,Song,63.70%,0.09
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.59,20.7,,,0.24,523,,382.8,222.7,0.83,,,,Song,63.70%,0.086
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.59,21.2,,,0.25,528,,383.3,217.7,0.85,,,,Song,63.70%,0.083
GTO 250Y,3,,,,,,,,,,,,,,61.1,0.6,21.7,,,0.26,532,,381.5,212.8,0.87,,,,Song,63.70%,0.08
GTO 250Y,3,,,,,,,,,,,,,,6.1,0.59,15.8,,,0.48,373,,396.1,206.1,0.61,,,,Song,40.20%,0.103
GTO 250Y,3,,,,,,,,,,,,,,12.2,0.6,15.7,,,0.48,372,,394.7,202.8,0.64,,,,Song,40.20%,0.1
GTO 250Y,3,,,,,,,,,,,,,,24.4,0.6,16,,,0.49,375,,394,183.2,0.74,,,,Song,40.20%,0.095
GTO 250Y,3,,,,,,,,,,,,,,36.7,0.59,16.1,,,0.49,376,,392.5,158.7,0.87,,,,Song,40.20%,0.09
GTO 250Y,3,,,,,,,,,,,,,,48.9,0.59,16.4,,,0.5,379,,392.2,157.1,0.87,,,,Song,40.20%,0.086
GTO 250Y,3,,,,,,,,,,,,,,61.1,0.6,16.7,,,0.5,381,,391.2,155.3,0.88,,,,Song,40.20%,0.082
MG 64Y,2.9,,,,,,,,,,,,,,6,0.59,27,,,2.18,323,,361.1,255.1,0.99,,,,Song,0.00%,0.099
MG 64Y,2.9,,,,,,,,,,,,,,12.2,0.59,27.1,,,2.19,323,,362.5,246.6,1.1,,,,Song,0.00%,0.099
MG 64Y,2.9,,,,,,,,,,,,,,24.5,0.59,24.8,,,2.06,303,,372.6,248.1,1.21,,,,Song,0.00%,0.097
MG 64Y,2.9,,,,,,,,,,,,,,36.7,0.59,24.8,,,2.06,304,,372.8,241.7,1.3,,,,Song,0.00%,0.097
MG 64Y,2.9,,,,,,,,,,,,,,48.9,0.6,24.9,,,2.06,304,,373.9,237.5,1.38,,,,Song,0.00%,0.097
MG 64Y,2.9,,,,,,,,,,,,,,61.1,0.6,24.8,,,2.06,303,,373,230.9,1.46,,,,Song,0.00%,0.096
MG 64Y,2.9,,,,,,,,,,,,,,73.3,0.59,24.7,,,2.06,303,,373,223.8,1.54,,,,Song,0.00%,0.096
MG 64Y,2.9,,,,,,,,,,,,,,6.2,0.99,26.4,,,2.15,318,,369.3,296.4,1.05,,,,Song,0.00%,0.101
MG 64Y,2.9,,,,,,,,,,,,,,12.2,0.99,26.6,,,2.16,319,,370,291.7,1.13,,,,Song,0.00%,0.101
MG 64Y,2.9,,,,,,,,,,,,,,24.5,0.99,26.6,,,2.16,319,,369.9,286.2,1.22,,,,Song,0.00%,0.101
MG 64Y,2.9,,,,,,,,,,,,,,36.7,0.99,26.6,,,2.16,319,,368.7,279.7,1.32,,,,Song,0.00%,0.1
MG 64Y,2.9,,,,,,,,,,,,,,48.9,0.99,26.6,,,2.16,319,,367.2,272.9,1.42,,,,Song,0.00%,0.1
MG 64Y,2.9,,,,,,,,,,,,,,61.1,0.99,26.6,,,2.16,319,,365.8,268.3,1.48,,,,Song,0.00%,0.1
MG 64Y,2.9,,,,,,,,,,,,,,73.4,0.99,26.7,,,2.16,320,,364.3,263.7,1.55,,,,Song,0.00%,0.099
MG 64Y,2.9,,,,,,,,,,,,,,6.2,1.48,25.6,,,2.1,310,,386.9,334.8,1.07,,,,Song,0.00%,0.098
MG 64Y,2.9,,,,,,,,,,,,,,12.2,1.48,25.6,,,2.1,310,,391.5,334.4,1.17,,,,Song,0.00%,0.098
MG 64Y,2.9,,,,,,,,,,,,,,24.4,1.49,25.6,,,2.1,310,,392.8,331.7,1.25,,,,Song,0.00%,0.099
MG 64Y,2.9,,,,,,,,,,,,,,36.7,1.49,25.6,,,2.1,310,,391.8,327.1,1.33,,,,Song,0.00%,0.098
MG 64Y,2.9,,,,,,,,,,,,,,48.9,1.49,25.6,,,2.1,311,,394.2,325,1.42,,,,Song,0.00%,0.099
MG 64Y,2.9,,,,,,,,,,,,,,61.1,1.48,25.6,,,2.1,310,,391.9,320.4,1.49,,,,Song,0.00%,0.098
MG 64Y,2.9,,,,,,,,,,,,,,73.3,1.48,25.6,,,2.1,310,,391.4,317.9,1.54,,,,Song,0.00%,0.097
MG 64Y,2.9,,,,,,,,,,,,,,36.7,1.98,25.8,,,2.12,312,,385.5,335.4,1.38,,,,Song,0.00%,0.096
MG 64Y,2.9,,,,,,,,,,,,,,36.6,2.47,26.3,,,2.14,316,,384.4,342.7,1.42,,,,Song,0.00%,0.095
B1 250 MN,3,,,,,,,,,,,,,,6.1,0.6,28.9,,,2.3,338,,384.6,110.1,0.89,,,,Song,0.00%,0.091
B1 250 MN,3,,,,,,,,,,,,,,12.2,0.6,28.8,,,2.29,338,,384.7,100.9,0.95,,,,Song,0.00%,0.091
B1 250 MN,3,,,,,,,,,,,,,,24.5,0.59,28.8,,,2.3,338,,384.7,88.9,1.02,,,,Song,0.00%,0.092
B1 250 MN,3,,,,,,,,,,,,,,36.7,0.6,29,,,2.3,339,,384.3,83.4,1.07,,,,Song,0.00%,0.092
B1 250 MN,3,,,,,,,,,,,,,,48.9,0.6,29,,,2.3,339,,383.9,77.8,1.11,,,,Song,0.00%,0.093
B1 250 MN,3,,,,,,,,,,,,,,61.1,0.59,29,,,2.31,340,,384.8,76.9,1.11,,,,Song,0.00%,0.094
B1 250 MN,3,,,,,,,,,,,,,,73.3,0.59,29.1,,,2.31,340,,384.7,76.6,1.11,,,,Song,0.00%,0.094
B1 250 MN,3,,,,,,,,,,,,,,6.1,0.99,28.6,,,2.28,336,,381.1,177,0.89,,,,Song,0.00%,0.095
B1 250 MN,3,,,,,,,,,,,,,,12.2,0.99,28.8,,,2.29,338,,381,166.1,0.96,,,,Song,0.00%,0.096
B1 250 MN,3,,,,,,,,,,,,,,24.5,0.99,28.7,,,2.29,337,,383.3,155.1,1.04,,,,Song,0.00%,0.096
B1 250 MN,3,,,,,,,,,,,,,,36.7,0.99,28.7,,,2.28,337,,381.6,147.2,1.1,,,,Song,0.00%,0.097
B1 250 MN,3,,,,,,,,,,,,,,48.9,0.99,28.7,,,2.28,337,,382,143.1,1.13,,,,Song,0.00%,0.098
B1 250 MN,3,,,,,,,,,,,,,,61.1,0.99,28.4,,,2.26,334,,380.6,139.4,1.15,,,,Song,0.00%,0.099
B1 250 MN,3,,,,,,,,,,,,,,73.4,0.99,28.6,,,2.28,337,,381.4,137.6,1.16,,,,Song,0.00%,0.098
B1 250 MN,3,,,,,,,,,,,,,,6.1,1.48,31.2,,,2.44,358,,370.2,218.5,0.89,,,,Song,0.00%,0.09
B1 250 MN,3,,,,,,,,,,,,,,12.2,1.48,31.3,,,2.45,360,,371.2,207.9,0.97,,,,Song,0.00%,0.091
B1 250 MN,3,,,,,,,,,,,,,,24.5,1.49,31.4,,,2.46,361,,372.9,199.6,1.04,,,,Song,0.00%,0.092
B1 250 MN,3,,,,,,,,,,,,,,36.7,1.49,31.5,,,2.46,362,,370.5,193.5,1.08,,,,Song,0.00%,0.092
B1 250 MN,3,,,,,,,,,,,,,,48.9,1.48,31.8,,,2.48,364,,368.8,190.2,1.09,,,,Song,0.00%,0.093
B1 250 MN,3,,,,,,,,,,,,,,61.1,1.46,31.7,,,2.48,364,,369.9,182.2,1.14,,,,Song,0.00%,0.093
B1 250 MN,3,,,,,,,,,,,,,,24.5,1.98,28.8,,,2.29,337,,381.2,246.6,1.03,,,,Song,0.00%,0.09
B1 250 MN,3,,,,,,,,,,,,,,24.4,2.47,29.2,,,2.31,340,,382,267.3,1.06,,,,Song,0.00%,0.089
HFP 2,3,,,,,,,,,,,,,,6.1,0.6,22.6,,,1.94,286,,385.2,264.1,0.74,,,,Song,0.00%,0.1
HFP 2,3,,,,,,,,,,,,,,12.2,0.58,22.5,,,1.94,285,,385.4,248.4,0.83,,,,Song,0.00%,0.1
HFP 2,3,,,,,,,,,,,,,,24.4,0.6,22.5,,,1.94,285,,386.4,239,0.94,,,,Song,0.00%,0.1
HFP 2,3,,,,,,,,,,,,,,36.7,0.58,22.4,,,1.93,285,,385.6,221.5,1.05,,,,Song,0.00%,0.1
HFP 2,3,,,,,,,,,,,,,,48.9,0.6,22.4,,,1.93,284,,387.5,211.6,1.18,,,,Song,0.00%,0.101
HFP 2,3,,,,,,,,,,,,,,61.1,0.6,21.9,,,1.91,281,,387.1,203,1.26,,,,Song,0.00%,0.101
HFP 2,3,,,,,,,,,,,,,,73.3,0.6,22.3,,,1.92,283,,387.4,195.9,1.34,,,,Song,0.00%,0.101
HFP 2,3,,,,,,,,,,,,,,6.1,0.99,25.7,,,2.11,311,,371.2,293,0.72,,,,Song,0.00%,0.099
HFP 2,3,,,,,,,,,,,,,,12.2,0.99,25.8,,,2.11,312,,371,282.1,0.83,,,,Song,0.00%,0.099
HFP 2,3,,,,,,,,,,,,,,24.4,0.99,25.9,,,2.12,313,,371.6,271.2,0.95,,,,Song,0.00%,0.099
HFP 2,3,,,,,,,,,,,,,,36.7,0.99,26,,,2.13,314,,371.6,261,1.06,,,,Song,0.00%,0.099
HFP 2,3,,,,,,,,,,,,,,48.9,0.99,26.2,,,2.14,316,,371.1,250.7,1.17,,,,Song,0.00%,0.1
HFP 2,3,,,,,,,,,,,,,,61.1,0.99,26.7,,,2.16,320,,371,241.1,1.27,,,,Song,0.00%,0.101
HFP 2,3,,,,,,,,,,,,,,73.3,0.99,26.4,,,2.15,317,,371.1,235.5,1.35,,,,Song,0.00%,0.1
HFP 2,3,,,,,,,,,,,,,,6.1,1.48,23.7,,,2.01,295,,389.5,338.9,0.67,,,,Song,0.00%,0.096
HFP 2,3,,,,,,,,,,,,,,12.2,1.48,23.6,,,2,294,,386.6,329.5,0.77,,,,Song,0.00%,0.096
HFP 2,3,,,,,,,,,,,,,,24.4,1.48,23.6,,,2,294,,387.1,319.8,0.92,,,,Song,0.00%,0.096
HFP 2,3,,,,,,,,,,,,,,36.7,1.48,23.6,,,2,294,,386.4,311.6,1.04,,,,Song,0.00%,0.096
HFP 2,3,,,,,,,,,,,,,,48.9,1.49,23.7,,,2,294,,381.3,299.5,1.16,,,,Song,0.00%,0.097
HFP 2,3,,,,,,,,,,,,,,61.1,1.48,23.8,,,2.01,296,,385.8,296.2,1.25,,,,Song,0.00%,0.098
HFP 2,3,,,,,,,,,,,,,,73.4,1.49,23.8,,,2.01,295,,386.1,289.4,1.38,,,,Song,0.00%,0.097
HFP 2,3,,,,,,,,,,,,,,36.7,1.98,22.8,,,1.96,287,,384,325.1,1.08,,,,Song,0.00%,0.097
HFP 2,3,,,,,,,,,,,,,,36.7,2.47,22.9,,,1.96,288,,384.3,336.1,1.08,,,,Song,0.00%,0.098
RSR 1.5,3,,,,,,,,,,,,,,6.2,0.6,32.7,,,2.55,374,,376.7,180,0.97,,,,Song,0.00%,0.101
RSR 1.5,3,,,,,,,,,,,,,,12.2,0.6,32.7,,,2.54,374,,377,169.1,1.06,,,,Song,0.00%,0.102
RSR 1.5,3,,,,,,,,,,,,,,24.4,0.6,32.6,,,2.54,373,,377.4,154.4,1.18,,,,Song,0.00%,0.102
RSR 1.5,3,,,,,,,,,,,,,,36.6,0.59,32.6,,,2.54,373,,373.5,139.3,1.25,,,,Song,0.00%,0.104
RSR 1.5,3,,,,,,,,,,,,,,48.9,0.6,32.6,,,2.54,373,,374.7,134,1.34,,,,Song,0.00%,0.103
RSR 1.5,3,,,,,,,,,,,,,,61.1,0.6,32.6,,,2.54,373,,375.7,128,1.4,,,,Song,0.00%,0.103
RSR 1.5,3,,,,,,,,,,,,,,73.3,0.6,32.6,,,2.54,373,,377,120.9,1.48,,,,Song,0.00%,0.102
RSR 1.5,3,,,,,,,,,,,,,,6.2,0.99,34,,,2.64,385,,367.6,235.4,0.98,,,,Song,0.00%,0.094
RSR 1.5,3,,,,,,,,,,,,,,12.2,0.99,34,,,2.64,385,,367.6,224.9,1.08,,,,Song,0.00%,0.094
RSR 1.5,3,,,,,,,,,,,,,,24.5,0.99,34.2,,,2.65,387,,367.7,210.4,1.21,,,,Song,0.00%,0.095
RSR 1.5,3,,,,,,,,,,,,,,36.7,0.99,35.3,,,2.73,398,,362.8,197.3,1.28,,,,Song,0.00%,0.096
RSR 1.5,3,,,,,,,,,,,,,,48.9,0.99,34.8,,,2.7,393,,365.9,195.1,1.34,,,,Song,0.00%,0.096
RSR 1.5,3,,,,,,,,,,,,,,61.1,0.99,34.6,,,2.68,391,,366.5,188.2,1.43,,,,Song,0.00%,0.095
RSR 1.5,3,,,,,,,,,,,,,,73.3,0.99,34.5,,,2.67,390,,367.1,183.1,1.5,,,,Song,0.00%,0.095
RSR 1.5,3,,,,,,,,,,,,,,6.1,1.49,31.1,,,2.43,358,,373,280,1.01,,,,Song,0.00%,0.094
RSR 1.5,3,,,,,,,,,,,,,,12.2,1.48,31.1,,,2.44,359,,373.2,273.6,1.09,,,,Song,0.00%,0.094
RSR 1.5,3,,,,,,,,,,,,,,24.4,1.48,31.2,,,2.44,359,,374,264.4,1.21,,,,Song,0.00%,0.094
RSR 1.5,3,,,,,,,,,,,,,,36.7,1.48,31.3,,,2.45,360,,373.2,256.1,1.31,,,,Song,0.00%,0.094
RSR 1.5,3,,,,,,,,,,,,,,48.9,1.49,31.5,,,2.46,362,,371.7,248,1.39,,,,Song,0.00%,0.097
RSR 1.5,3,,,,,,,,,,,,,,61.1,1.48,31.3,,,2.45,360,,372.3,242.2,1.49,,,,Song,0.00%,0.096
RSR 1.5,3,,,,,,,,,,,,,,73.3,1.48,31.3,,,2.45,360,,372.5,235.7,1.59,,,,Song,0.00%,0.095
RSR 1.5,3,,,,,,,,,,,,,,36.7,1.98,33.8,,,2.62,383,,367.3,272.2,1.33,,,,Song,0.00%,0.092
RSR 1.5,3,,,,,,,,,,,,,,36.7,2.47,34.1,,,2.63,385,,367.3,287.8,1.37,,,,Song,0.00%,0.09
